Beer,Brewery,Style,YourRating,GlobalRating
Pastrytown 2021 - Chocolate Macadamia Nut,Other Half Brewing Co.,Stout - Imperial / Double,4.25,4.08
Månedalen,Pulpit Rock Brewing Company,Wheat Beer - Other,3.75,3.74
Cake Batter Drive-In,Barn Town Brewing,IPA - Milkshake,4,3.71
Hop Skewer,Barn Town Brewing,IPA - American,4.5,4.15
Cryo Citra Neon,Barn Town Brewing,IPA - New England / Hazy,4,4.03
Things We Don’t Say,Barn Town Brewing,IPA - New England / Hazy,3.75,3.92
The Real Slim Shandy,Barn Town Brewing,Shandy / Radler,3.75,3.67
Drunken Mornings,Brothers Craft Brewing,Stout - Imperial / Double Coffee,2.5,4.01
Language of Thunder Cumulus (2020),TrimTab Brewing Co.,Stout - Imperial / Double,4.25,4.18
Citra Sky,Exile Brewing Company,IPA - New England / Hazy,4,3.85
LOL.,Pulpit Rock Brewing Company,Stout - Imperial / Double Pastry,4.75,4.46
Glitter Bomb,Pulpit Rock Brewing Company,Sour - Fruited,4,4.19
Raspberry Lime,Truly Hard Seltzer,Hard Seltzer,3,3.08
NugMo,Toppling Goliath Brewing Co.,IPA - American,4,4.06
Pompeii Beach,Toppling Goliath Brewing Co.,IPA - American,3.25,3.72
Smile Saver Pale Ale,Pulpit Rock Brewing Company,Pale Ale - American,3.5,3.83
Tropical Punch,Truly Hard Seltzer,Hard Seltzer,3.5,3.34
Citrus Punch,Truly Hard Seltzer,Hard Seltzer,2.25,3.16
Fruit Punch,Truly Hard Seltzer,Hard Seltzer,3.5,3.29
