Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Kaiju Clash,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.37,12/05/20,12/05/20
Term Oil Fluffernutter,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.55,12/05/20,12/05/20
Richard the Whale: Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.25,4.33,12/05/20,12/05/20
Richard the Whale: Vietnamese Coconut Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.5,4.6,12/05/20,12/05/20
Hopsmack! ,Toppling Goliath Brewing Co.,IPA - Imperial / Double,3.75,4.18,12/03/20,12/03/20
Old Man Winter Barley Wine,Lake Time Brewery,Barleywine - American,2.5,3.46,12/02/20,12/02/20
Caramel Apple Hard Cider,Wilson's Orchard Hard Cider,Cider - Dry,3.5,3.6,12/02/20,12/02/20
Octoberfest,Fenders Brewing,Lager - Vienna,3.75,3.83,11/29/20,11/29/20
Thick Avenue,Lua Brewing,Sour - Fruited,3,4.05,11/29/20,11/29/20
"Ferryman's Chocolate Orange, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao, Orange Peel, & Cinnamon",Confluence Brewing Company,Stout - Russian Imperial,3.25,4.03,11/29/20,11/29/20
Pushpop: Least Best,Lua Brewing,Sour - Fruited,4.25,4.5,11/29/20,11/29/20
Tryptophan,Lua Brewing,IPA - Triple,4.25,4.48,11/29/20,11/29/20
Hop Doom,Naparbier,IPA - Imperial / Double,3.75,3.95,11/27/20,11/27/20
Cran Apple Crisp,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.97,11/26/20,11/26/20
Hedonistic,Lua Brewing,Stout - Imperial / Double,4.75,4.58,11/26/20,11/26/20
Yer Killin' Me S'mores!,Barn Town Brewing,Stout - Pastry,4,4.09,11/25/20,11/25/20
Bourbon County Brand Stout (2017) 14.7%,Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.51,11/25/20,11/25/20
Skunkworks Double IPA (Cognac Barrel Aged),Moon Dog Craft Brewery,IPA - Imperial / Double,4,3.83,11/25/20,11/25/20
Sun Reaper,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4,4.11,11/24/20,11/24/20
Christmas Bomb!,Prairie Artisan Ales,Stout - Imperial / Double,4,4.11,11/24/20,11/24/20
Imperial Smells Like Bean Spirit - Special Roast (French Toast),Mikerphone Brewing,Stout - Imperial / Double Coffee,4.25,4.16,11/21/20,11/21/20
Double Button Down,Barn Town Brewing,IPA - Imperial / Double,3.75,3.83,11/13/20,11/13/20
Rocky Road,Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.03,11/13/20,11/13/20
KBS Espresso (2020),Founders Brewing Co.,Stout - Imperial / Double Coffee,4,4.23,11/13/20,11/13/20
Grand Cru,North Coast Brewing Company,Strong Ale - American,1,3.84,11/13/20,11/13/20
Santa's Cookie Duster,Marz Community Brewing Co.,Barleywine - Other,2,3.73,11/13/20,11/13/20
Peachy Bones Batch #3 (2018),Firestone Walker Brewing Company,Wild Ale - American,2,4.06,11/13/20,11/13/20
Manic_pixie_eco_warrior,Solemn Oath Brewery,Barleywine - English,3.5,3.75,11/13/20,11/13/20
KBS Maple Mackinac Fudge (2020),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.37,11/13/20,11/13/20
Big Frooty #27: Kleetus B,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.1,11/04/20,11/04/20
Big Frooty #26: Mace Daddy,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99,11/04/20,11/04/20
Double Donuts (Barrel-Aged),SingleSpeed Brewing Company,Stout - Imperial / Double Oatmeal,4,4.22,11/04/20,11/04/20
Jõuluöö,Põhjala,Porter - Imperial / Double,3.75,3.9,11/04/20,11/04/20
Blessed,Anchorage Brewing Company,Stout - Imperial / Double,5,4.76,11/04/20,11/04/20
Pseudo Sue,Toppling Goliath Brewing Co.,Pale Ale - American,4.25,4.13,11/01/20,11/01/20
Double Dry Hop King Sue,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.41,11/01/20,11/01/20
Shiner Holiday Cheer,Spoetzl Brewery,Wheat Beer - Dunkelweizen,3.25,3.59,11/01/20,11/01/20
Respite,Lua Brewing,Lager - Helles,3.75,3.92,10/31/20,10/31/20
Baby's First SmushPop,Lua Brewing,Sour - Other,4,4.32,10/28/20,10/28/20
Double Pushpop: To A Tradition,Lua Brewing,Sour - Fruited,4.25,4.55,10/28/20,10/28/20
Vladibeer Putin,NoCoast Beer Co,Stout - Russian Imperial,3.5,3.9,10/28/20,10/28/20
Wit Or Without You,Mistress Brewing Company,Wheat Beer - Witbier / Blanche,3.75,3.49,10/28/20,10/28/20
Peanut Butter Porter/ Whiskey Barrel,Mistress Brewing Company,Porter - Other,3.75,3.59,10/27/20,10/27/20
Sahti,Mistress Brewing Company,Malt Beer,3,3.7,10/27/20,10/27/20
Shiner Ruby Redbird,Spoetzl Brewery,Fruit Beer,3.5,3.31,10/25/20,10/25/20
Ayinger Oktober Fest-Märzen,Ayinger Privatbrauerei,Märzen,3.5,3.82,10/24/20,10/24/20
Oktoberfest,Lakefront Brewery,Märzen,3.5,3.56,10/24/20,10/24/20
B.O.R.I.S. The Crusher,Hoppin' Frog Brewery,Stout - Russian Imperial,3.5,4.05,10/24/20,10/24/20
Assassin with Coconut (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.59,10/24/20,10/24/20
Pie Eyed,Lua Brewing,Sour - Fruited,4,4.32,10/23/20,10/23/20
Carpe Diem (2019),Madhouse Brewing Company,Stout - Imperial / Double,4.75,4.45,10/21/20,10/21/20
Richard the Whale ,Big Grove Brewery,Stout - Russian Imperial,4.25,4.27,10/21/20,10/21/20
Big Frooty #24: Johnny La Rouge,Barn Town Brewing,Sour - Smoothie / Pastry,2,3.96,10/21/20,10/21/20
Pivot!,Barn Town Brewing,IPA - New England / Hazy,3.75,3.92,10/15/20,10/15/20
Perfectly Pleasant,Gezellig Brewing Company,Stout - American,3,3.96,10/15/20,10/15/20
Little Black Dress,Mistress Brewing Company,IPA - Black / Cascadian Dark Ale,3.5,3.58,10/14/20,10/14/20
Gable,SingleSpeed Brewing Company,Lager - Helles,4,3.64,10/10/20,10/10/20
Saturday Morning Blackberry & Raspberry,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08,10/10/20,10/10/20
Ecto Coolest,Barn Town Brewing,Sour - Fruited,4,3.96,10/10/20,10/10/20
Violet Underground,Firestone Walker Brewing Company,Wild Ale - Other,1.75,4.11,09/30/20,09/30/20
Barrel Aged Comrade With Coffee And Vanilla,ZümBier,Stout - Russian Imperial,4,4.32,09/30/20,09/30/20
Blonde Fatale,Peace Tree Brewing Company,Belgian Blonde,3,3.7,09/26/20,09/26/20
Big Big Trouble,Hopfly Brewing Co.,Stout - Imperial / Double Coffee,4,4.12,09/26/20,09/26/20
Oktobot 3000 (2020),Lion Bridge Brewing Company,Märzen,3.75,3.96,09/26/20,09/26/20
Mango Fett,Franklin Street Brewing Company,IPA - New England / Hazy,4,3.92,09/26/20,09/26/20
Barrel Aged The Visitor Imperial Stout (Coconut Haystack) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.23,09/19/20,09/19/20
Murking Man Blues,Austin Brothers Beer Co,IPA - New England / Hazy,3,3.83,09/16/20,09/16/20
Miracle Toast,Hoof Hearted Brewing,Stout - Imperial / Double,3.5,4.06,09/16/20,09/16/20
Black Butte XXXI,Deschutes Brewery,Porter - Imperial / Double,2.5,4.12,09/16/20,09/16/20
Black Is Beautiful,Lua Brewing,Stout - Imperial / Double Pastry,4.5,4.49,09/16/20,09/16/20
Longboard Island Lager,Kona Brewing Company,Lager - Pale,3.5,3.4,09/16/20,09/16/20
Shiner S'More,Spoetzl Brewery,Brown Ale - American,3.5,3.62,09/16/20,09/16/20
8th Anniversary Almond Coconut Chocolate Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.09,09/10/20,09/10/20
Game of Thrones: For the Throne,Brewery Ommegang,Belgian Strong Golden Ale,4,3.79,09/10/20,09/10/20
Ice Raspberry,Smirnoff,Flavored Malt Beverage,3.5,3.23,09/09/20,09/09/20
Barrel-Aged Dark & Stormy,Cahoots Brewing,Hard Ginger Beer,3.75,3.48,09/06/20,09/06/20
Barrel Aged Badgers Nadgers Barleywine -- Batch II (8/14/19,Alluvial Brewing Company,Barleywine - English,3,4.12,09/06/20,09/06/20
Yodo Con Leche,5 Rabbit Cervecería,Porter - Imperial / Double Coffee,4,4.04,09/05/20,09/05/20
B-Bomb (2016),Fremont Brewing,Winter Ale,3.75,4.36,09/03/20,09/03/20
Barrel Aged Velvet | 2020,Big Grove Brewery,Stout - Imperial / Double,4.75,4.66,09/03/20,09/03/20
Zeelander,Toppling Goliath Brewing Co.,IPA - American,3.75,4.02,09/03/20,09/03/20
Oberon Ale,Bell's Brewery,Wheat Beer - American Pale Wheat,3.75,3.75,09/02/20,09/02/20
Peanut Butter Cup Imperial Stout (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,3.93,08/30/20,08/30/20
Emperor Norton,Almanac Beer Company,IPA - Belgian,3.5,3.76,08/26/20,08/26/20
"Wicked Tripel, Oak Barrel Aged Belgian-Style Tripel Ale",Confluence Brewing Company,Belgian Tripel,1.5,3.76,08/26/20,08/26/20
Pumpkinhead Ale,Shipyard Brewing Company,Pumpkin / Yam Beer,3.75,3.61,08/25/20,08/25/20
Loud As Hope,Lua Brewing,Wheat Beer - Hefeweizen,4.25,3.91,08/21/20,08/21/20
Daisy,Mistress Brewing Company,Lager - American,3,3.5,08/20/20,08/20/20
Shiner Oktoberfest,Spoetzl Brewery,Märzen,3.5,3.46,08/20/20,08/20/20
Black Butte Porter,Deschutes Brewery,Porter - American,3,3.81,08/20/20,08/20/20
Hold the Spoon: Black Chocolate Cake,The Bruery,Stout - Imperial / Double Pastry,4.25,4.09,08/19/20,08/19/20
Mistress Boudica,Mistress Brewing Company,Stout - English,3.5,3.58,08/18/20,08/18/20
Mistress Mae,Mistress Brewing Company,Belgian Quadrupel,3.75,3.85,08/18/20,08/18/20
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,4,4.02,08/14/20,08/14/20
Imperial Wedding Cake Break (2019),Evil Twin Brewing,Porter - Imperial / Double,4,3.94,08/14/20,08/14/20
Even More 8lb 6oz Newborn Infant Jesus,Evil Twin Brewing,Stout - Milk / Sweet,3.5,3.4,08/14/20,08/14/20
Imperial Biscotti Break,Evil Twin Brewing,Stout - Imperial / Double,4,4.08,08/07/20,08/07/20
Brigade Ale,Firetrucker Brewery,Golden Ale,3.75,3.57,08/07/20,08/07/20
Waffle Stout,Firetrucker Brewery,Stout - Oatmeal,3.75,3.7,08/07/20,08/07/20
Reindeer Tears (2018),Heathen Brewing,Barleywine - American,3.75,4,08/05/20,08/05/20
Black Is Beautiful,Weathered Souls Brewing Co.,Stout - Imperial / Double,4.25,3.92,08/05/20,08/05/20
Triple Surfer,Trophy Brewing Company,IPA - Triple,3,4.14,08/05/20,08/05/20
Oak Aged Belgian Quad Ale,Mistress Brewing Company,Belgian Quadrupel,3.5,3.8,08/05/20,08/05/20
Hoopla,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.28,08/05/20,08/05/20
Lunch,Maine Beer Company,IPA - American,4,4.17,08/05/20,08/05/20
Coffee Diem,Mistress Brewing Company,Porter - Coffee,2.5,3.76,08/04/20,08/04/20
Mistress Pineapple IPA,Mistress Brewing Company,IPA - American,3.25,3.65,08/04/20,08/04/20
Mistress Maibock,Mistress Brewing Company,Bock - Hell / Maibock / Lentebock,3.75,3.54,08/04/20,08/04/20
Secondhand Rose Strawberry Blonde Ale,Mistress Brewing Company,Blonde Ale,3,3.54,08/04/20,08/04/20
Dankalope IPA,Exile Brewing Company,IPA - American,3.5,3.79,08/01/20,08/01/20
Hazelnut Pot De Crème (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.13,07/30/20,07/30/20
Cin Sin (2020),Barn Town Brewing,Stout - Imperial / Double,4,4.03,07/29/20,07/29/20
I Believe In Love,Allagash Brewing Company,Sour - Fruited,3.5,4.06,07/29/20,07/29/20
Ghosts in the Forest (Guava),The Lost Abbey,Wild Ale - American,2.5,4.16,07/29/20,07/29/20
Hazy Day IPA,Carroll Brewing Company,IPA - Session,3.5,3.66,07/29/20,07/29/20
Imperial Coconut Porter,Maui Brewing Company,Porter - Imperial / Double,4,4.13,07/29/20,07/29/20
10th Anniversary Barrel-Aged Torpedo,Sierra Nevada Brewing Co.,IPA - American,3.25,3.96,07/29/20,07/29/20
Orange Lazarus Milkshake IPA,Alluvial Brewing Company,IPA - Milkshake,4.5,3.98,07/29/20,07/29/20
Sweet Baby Jesus!,DuClaw Brewing Company,Porter - American,3.75,3.83,07/27/20,07/27/20
Strawberry Lemonade,Big Grove Brewery,Sour - Fruited,3.75,3.74,07/25/20,07/25/20
Remember,Lua Brewing,Stout - Imperial / Double,4.75,4.52,07/22/20,07/22/20
Aurox Imperial Stout w/ Maple,Alluvial Brewing Company,Stout - Russian Imperial,4,4.3,07/22/20,07/22/20
Weissbier,Carroll Brewing Company,Wheat Beer - Other,3.75,3.72,07/22/20,07/22/20
India Pale Ale,Carroll Brewing Company,IPA - American,3.75,3.61,07/22/20,07/22/20
Kentucky Peach Barrel Wheat Ale,Lexington Brewing & Distilling Co.,Fruit Beer,2.5,3.49,07/19/20,07/19/20
Allagash White,Allagash Brewing Company,Wheat Beer - Witbier / Blanche,3.5,3.75,07/19/20,07/19/20
Out of Melee Range (2020),Listermann Brewing Company,Stout - Pastry,4.25,4.14,07/19/20,07/19/20
Cavatica Stout,Fort George Brewery,Stout - Imperial / Double,3.75,3.91,07/15/20,07/15/20
"Dark Realm W/ Hazelnuts, Coffee, Maple Syrup & Cinnamon",Short Fuse Brewing Company,Stout - Russian Imperial,4.25,4.05,07/11/20,07/11/20
Imperial Smells Like Bean Spirit,Mikerphone Brewing,Stout - Imperial / Double Coffee,4.5,4.28,07/11/20,07/11/20
Peanut Butter Jelly Crime,Superstition Meadery,Mead - Melomel,4,4.16,07/08/20,07/08/20
DDH Tropic-Hero,Revolution Brewing Company,IPA - New England / Hazy,4,3.98,07/08/20,07/08/20
Peach Vanilla Space Crystals,Lil Beaver Brewery,IPA - Imperial / Double Milkshake,3.75,4.09,07/08/20,07/08/20
Vanilla Drive-In,Barn Town Brewing,IPA - Milkshake,4.25,4.06,07/08/20,07/08/20
Shiner Mango Kölsch,Spoetzl Brewery,Kölsch,3,3.53,07/07/20,07/07/20
For Life,Indie Brewing Company,Stout - Imperial / Double,3.75,4.09,07/05/20,07/05/20
Liberty Sandwich,4 Hands Brewing Company,Stout - Imperial / Double,4.25,4.1,07/04/20,07/04/20
Hop Peak IPA,Breckenridge Brewery,IPA - American,3.75,3.64,07/04/20,07/04/20
Vanilla Porter,Breckenridge Brewery,Porter - American,3.75,3.77,07/03/20,07/03/20
Black,Allagash Brewing Company,Stout - Other,3.5,3.8,07/03/20,07/03/20
Golden Prairie Doppel Alt,Golden Prairie Fermentations,Altbier,3.75,3.72,07/03/20,07/03/20
Shiner Sea Salt & Lime Summer Lager,Spoetzl Brewery,Lager - American Light,3.5,3.42,07/03/20,07/03/20
Gold Cliff,Kona Brewing Company,IPA - American,3.5,3.65,07/03/20,07/03/20
Shiner Hill Country Peach Wheat Ale,Spoetzl Brewery,Wheat Beer - Witbier / Blanche,3.5,3.63,07/03/20,07/03/20
Assassin (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.59,07/01/20,07/01/20
Gunner's Daughter,Mast Landing Brewing Co.,Stout - Milk / Sweet,4.25,4.15,07/01/20,07/01/20
Bakery: Oatmeal Cookie,The Bruery,Stout - Imperial / Double Pastry,4.25,4.08,07/01/20,07/01/20
Tickle Monster,Drekker Brewing Company,IPA - Imperial / Double New England / Hazy,3.75,4.13,07/01/20,07/01/20
Blueberry Coffee & Cakes (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4.75,4.25,07/01/20,07/01/20
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,4,3.63,07/01/20,07/01/20
Shiner Strawberry Blonde,Spoetzl Brewery,Fruit Beer,3,3.34,06/30/20,06/30/20
Cicada Killer Maple Coffee (2019),Barn Town Brewing,Stout - Imperial / Double,4.25,4.29,06/24/20,06/24/20
Drawing A Blank,Abomination Brewing Company,IPA - Triple New England / Hazy,4,3.99,06/24/20,06/24/20
FSB 2019: PART 1,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,4.75,4.17,06/24/20,06/24/20
Ace Perry Cider,Ace Cider (The California Cider Company),Cider - Perry,3.75,3.68,06/23/20,06/23/20
Cuveé Du Jongleur (2017),Cascade Brewing,Sour - Other,0.25,4.23,06/20/20,06/20/20
Michelob AmberBock,Anheuser-Busch,Bock - Single / Traditional,3.5,3.1,06/20/20,06/20/20
The Temptress,Lakewood Brewing Co.,Stout - Imperial / Double Milk,4,4.05,06/20/20,06/20/20
Big Frooty #10: Plum & Grape CoolAide,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.35,06/17/20,06/17/20
Big Frooty #11: Tangerine & Tang,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.38,06/17/20,06/17/20
Hop Waka (Pineapple Passion),Brightside Aleworks,IPA - New England / Hazy,4,4.01,06/17/20,06/17/20
Big Frooty #9: Strawberry Chocolate Cheesecake,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.22,06/17/20,06/17/20
