Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Enlighten-Mint Stout,Brightside Aleworks,Stout - American,4,3.96,06/11/20,06/11/20
Hazy Diamond Bling Sauce,Brightside Aleworks,IPA - Imperial / Double New England / Hazy,4,4.02,06/10/20,06/10/20
Degrees of Boredom,Brightside Aleworks,IPA - Session,3.25,3.97,06/10/20,06/10/20
Norseman's Wrath,Toppling Goliath Brewing Co.,Stout - Russian Imperial,3.75,3.75,06/10/20,06/10/20
Barrel Aged Mexican Chocolate Peanut Butter Imperial Stout,Belching Beaver Brewery,Stout - Imperial / Double,4.25,4.27,06/06/20,06/06/20
Coffee Cloud Maker,Lil Beaver Brewery,Stout - Imperial / Double,4.25,3.85,06/06/20,06/06/20
Morticia : Mint Chocolate Chip,Barrier Brewing Company,Stout - Russian Imperial,3.75,3.89,06/05/20,06/05/20
Lemon Bar Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.08,06/04/20,06/04/20
FSB 2019: PART 2,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,4.25,4.04,06/03/20,06/03/20
Three Philosophers,Brewery Ommegang,Belgian Quadrupel,3.75,3.95,06/03/20,06/03/20
Zombie Dust,3 Floyds Brewing,Pale Ale - American,4.25,4.26,06/03/20,06/03/20
Strawberry Chocolate Cheesecake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,3.99,05/28/20,05/28/20
Antidote BA Blonde Stout,Backpocket Brewing,Stout - Imperial / Double White / Golden,4.25,3.91,05/28/20,05/28/20
"Big Frooty: Peach, Strawberry, Red Raspberry",Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.22,05/28/20,05/28/20
Holding Pattern,Barn Town Brewing,IPA - New England / Hazy,4,4,05/28/20,05/28/20
Bud Light,Anheuser-Busch,Lager - American Light,3.5,2.33,05/23/20,05/23/20
Coffee Cinnamon B-Bomb (2019),Fremont Brewing,Winter Ale,4.25,4.41,05/19/20,05/19/20
Wagon Wheel Wit,Barn Town Brewing,Wheat Beer - Witbier / Blanche,4.25,3.54,05/19/20,05/19/20
MMMMMM.......DROP!,Barn Town Brewing,IPA - Imperial / Double,3.75,4.07,05/19/20,05/19/20
At Arm's Length™,Great Raft Brewing,Lager - IPL (India Pale Lager),4,3.82,05/18/20,05/18/20
Term Oil 19-C,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.42,05/15/20,05/15/20
Mornin' Delight,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.63,05/12/20,05/12/20
"Big Frooty #1: Blackberry, Peach, Pineapple",Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.22,05/10/20,05/10/20
Dirty Secret,Pulpit Rock Brewing Company,Pale Ale - American,5,4.11,05/10/20,05/10/20
"Big Frooty: Strawberry, Blueberry, Red Raspberry",Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.35,05/09/20,05/09/20
Big Frooty: Plum & Pineapple,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.28,05/09/20,05/09/20
Cicada Killer with Maple (2019),Barn Town Brewing,Stout - Imperial / Double,4.5,4.2,05/07/20,05/07/20
Pushpop: Maybe Love Is the Reason Why,Lua Brewing,Sour - Fruited,4.5,4.56,05/07/20,05/07/20
Saturday Morning Grape & Blueberry,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.98,05/07/20,05/07/20
Pabst Blue Ribbon Hard Coffee,Pabst Brewing Company,Flavored Malt Beverage,4,3.9,05/06/20,05/06/20
Citra Neon Hazy IPA,Barn Town Brewing,IPA - New England / Hazy,4.5,4.25,05/02/20,05/02/20
29er,Fenders Brewing,IPA - American,3.75,3.83,05/01/20,05/01/20
Leinenkugel's Original,Jacob Leinenkugel Brewing Company,Lager - Pale,3.5,3.23,05/01/20,05/01/20
Always Bag Yer Peppers,Barn Town Brewing,Stout - Pastry,3.75,3.97,04/28/20,04/28/20
Chocolate Bouncy House,Barn Town Brewing,Stout - Milk / Sweet,4,4.05,04/28/20,04/28/20
Sugar Shower,Barn Town Brewing,Fruit Beer,4,3.83,04/28/20,04/28/20
Dragon's Milk,New Holland Brewing,Stout - Imperial / Double,4,4.06,04/28/20,04/28/20
Mischievous Grin,Barn Town Brewing,Sour - Fruited,3,4.05,04/25/20,04/25/20
Midnight Matinee,Barn Town Brewing,Stout - Imperial / Double Pastry,4,4.08,04/24/20,04/24/20
American Beauty,Dogfish Head Craft Brewery,Pale Ale - American,4,3.69,04/22/20,04/22/20
Blueberry Pancakes,Barn Town Brewing,Stout - Imperial / Double Milk,4,4.06,04/22/20,04/22/20
"""The Gang Brews A Beer""",Brightside Aleworks,IPA - New England / Hazy,4,4.12,04/22/20,04/22/20
Slimothy James,Lua Brewing,IPA - Imperial / Double,4.25,4.17,04/22/20,04/22/20
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,3,3.46,04/21/20,04/21/20
10 Hour Brunch,Brightside Aleworks,Stout - Imperial / Double,4.25,4.15,04/20/20,04/20/20
Dosvidanya Rye Barrel (2019),DESTIHL Brewery,Stout - Imperial / Double,4,4.26,04/18/20,04/18/20
Black Cherry Ale,Redd's Brewing Company,Fruit Beer,2.5,3.5,04/18/20,04/18/20
Coors Light,Coors Brewing Company,Lager - American Light,2.5,2.42,04/18/20,04/18/20
Barrel Aged B.O.R.I.S. Royale (2019),Hoppin' Frog Brewery,Stout - Imperial / Double,4.25,4.19,04/17/20,04/17/20
Hard Apple Pie,Sprecher Brewing Company,Fruit Beer,3.5,3.54,04/16/20,04/16/20
Strawberry Hopcake,Almanac Beer Company,Sour - Fruited,0.25,3.99,04/16/20,04/16/20
Kill All The Golfers,B. Nektar Meadery,Mead - Metheglin,2,3.62,04/16/20,04/16/20
Helles Lager,KC Bier Co.,Lager - Helles,3,3.61,04/16/20,04/16/20
Tropical Torpedo,Sierra Nevada Brewing Co.,IPA - American,3.5,3.62,04/16/20,04/16/20
Kentucky Breakfast Stout (KBS),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.39,04/15/20,04/15/20
Frucht: Passion Fruit,The Bruery Terreux,Sour - Fruited Berliner Weisse,0.25,3.98,04/15/20,04/15/20
Smoked Porter,Alaskan Brewing Co.,Smoked Beer,3.75,3.73,04/14/20,04/14/20
Twisted Tea Raspberry,Twisted Tea Brewing Company,Flavored Malt Beverage,3.75,3.22,04/14/20,04/14/20
Anchor California Lager,Anchor Brewing Company,Lager - Pale,3.5,3.39,04/14/20,04/14/20
Mike's Classic Margarita,Mike's Hard Lemonade Company,Flavored Malt Beverage,2.25,3.04,04/13/20,04/13/20
Anchor Porter,Anchor Brewing Company,Porter - American,3.5,3.57,04/12/20,04/12/20
Saison,Funkwerks,Farmhouse Ale - Saison,3.75,3.75,04/11/20,04/11/20
Barrel Aged Aurox Imperial Stout (Vanilla Bean) -- Batch III (3/11/2019),Alluvial Brewing Company,Stout - Imperial / Double,5,4.28,04/10/20,04/10/20
From Zero To Iffy,Gezellig Brewing Company,Stout - Imperial / Double Milk,4.5,4.07,04/10/20,04/10/20
Rauch Geek Breakfast,Mikkeller Brewing San Diego,Smoked Beer,3,3.77,04/10/20,04/10/20
Sapporo Premium Beer,Sapporo Breweries,Lager - Pale,2.25,3.18,04/10/20,04/10/20
Petite Sour Raspberry,Crooked Stave Artisan Beer Project,Wild Ale - American,0.25,4.04,04/10/20,04/10/20
Hop Stoopid,Lagunitas Brewing Company,IPA - Imperial / Double,4,3.93,04/09/20,04/09/20
Big Bad Baptist,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4.5,4.18,04/08/20,04/08/20
Peach & Chong,Barn Town Brewing,Sour - Fruited,4.5,4.09,04/08/20,04/08/20
Blueberry Love Muffin Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.18,04/08/20,04/08/20
Marshal Zhukov's,Cigar City Brewing,Stout - Russian Imperial,4.5,4.18,04/07/20,04/07/20
Silly People,Off Color Brewing,Sour - Traditional Gose,1,3.99,04/07/20,04/07/20
Kentucky Bourbon Barrel Ale,Lexington Brewing & Distilling Co.,Strong Ale - American,3.75,3.85,04/06/20,04/06/20
Black Jack Cola,Jack Daniel's Beverage Co.,Malt Liquor,3,3.21,04/04/20,04/04/20
Kentucky Coffee Barrel Cream Ale,Lexington Brewing & Distilling Co.,Cream Ale,3.75,3.9,04/04/20,04/04/20
Blue Paw Wild Blueberry,Sea Dog Brewing Company,Wheat Beer - Other,3.75,3.61,04/04/20,04/04/20
Budweiser Nitro Reserve Gold,Anheuser-Busch,Lager - American,2.5,2.98,04/04/20,04/04/20
Anxious,Lua Brewing,Stout - Imperial / Double,4.75,4.49,04/03/20,04/03/20
Fantastic Voyage,Perennial Artisan Ales,Stout - Imperial / Double Milk,4,3.92,04/03/20,04/03/20
The Hairy Eyeball,Lagunitas Brewing Company,Strong Ale - American,3.5,3.7,04/01/20,04/01/20
Expedition Stout,Bell's Brewery,Stout - Russian Imperial,3.75,4.05,03/31/20,03/31/20
Bourbon Barrel Aged Imperial Blueberry Maple Stout (2019),Saugatuck Brewing Company,Stout - Imperial / Double Milk,4.5,4.15,03/29/20,03/29/20
Jalapeño Cider,Saro Cider,Cider - Herbed / Spiced / Hopped,0.25,3.62,03/29/20,03/29/20
Shiner Light Blonde,Spoetzl Brewery,Lager - American Light,3,3.18,03/28/20,03/28/20
Hola Señor,Knee Deep Brewing Company,Lager - Mexican,2.75,3.54,03/28/20,03/28/20
Original,Lone Star Brewing Co.,Lager - American,3,2.91,03/28/20,03/28/20
Love Street,Karbach Brewing Co.,Kölsch,3.25,3.56,03/27/20,03/27/20
Landshark Lager,Margaritaville Brewing Co.,Lager - American,3.5,3.22,03/27/20,03/27/20
Lip Kick,Prairie Pride Brewing Co.,Brown Ale - Imperial / Double,3.75,3.72,03/27/20,03/27/20
Barrel Aged Silhouette,Lift Bridge Brewing Company,Stout - Russian Imperial,4.25,4.31,03/27/20,03/27/20
Not Your Father's Root Beer (5.9%),Not Your Father’s,Root Beer,3.75,3.99,03/26/20,03/26/20
Oatmeal Stout,Free State Brewing Co.,Stout - Oatmeal,3.5,3.57,03/26/20,03/26/20
Woodchuck Seasonal Winter Chill,Woodchuck Cidery,Cider - Traditional / Apfelwein,2.5,3.38,03/26/20,03/26/20
420 Extra Pale Ale,SweetWater Brewing Company,Pale Ale - XPA (Extra Pale),3.75,3.61,03/26/20,03/26/20
Reposado Pear,Wyder's Cider,Cider - Perry,2.75,3.7,03/26/20,03/26/20
Hanalei Island IPA,Kona Brewing Company,IPA - Session,3.75,3.55,03/26/20,03/26/20
Peanut Butter Chocolate Milk Stout,Lost Coast Brewery,Stout - Milk / Sweet,4.5,3.85,03/25/20,03/25/20
Materfamilias,Mother's Brewing Company,Stout - Imperial / Double,4.25,4.14,03/25/20,03/25/20
Amber,Alaskan Brewing Co.,Altbier,3.5,3.61,03/24/20,03/24/20
Michelob Golden Light,Anheuser-Busch,Lager - American Light,3.5,2.82,03/24/20,03/24/20
Lone Star Light,Lone Star Brewing Co.,Lager - American Light,2.5,2.79,03/24/20,03/24/20
Shiner Lemon Pils,Spoetzl Brewery,Pilsner - Other,3.25,3.04,03/24/20,03/24/20
White,Funkwerks,Wheat Beer - Witbier / Blanche,4,3.61,03/23/20,03/23/20
Stripe Cake,Big Grove Brewery,Sour - Fruited Berliner Weisse,1.5,4.03,03/23/20,03/23/20
#Adulting,Evil Genius Beer Company,IPA - American,4.25,3.74,03/23/20,03/23/20
Sour Inc: Concord Grape Gose,New Holland Brewing,Sour - Fruited Gose,0.25,3.68,03/22/20,03/22/20
Celebration Fresh Hop IPA,Sierra Nevada Brewing Co.,IPA - American,4,3.73,03/22/20,03/22/20
Quinn's Amber Lager,Pecatonica Beer Company,Lager - Amber,3.5,3.22,03/22/20,03/22/20
Sidecar Orange IPA,Sierra Nevada Brewing Co.,IPA - American,4,3.55,03/22/20,03/22/20
Bud Light Lime,Anheuser-Busch,Lager - American Light,3.5,2.63,03/21/20,03/21/20
Devil Strip,Hoppin' Frog Brewery,Black & Tan,3.75,3.67,03/21/20,03/21/20
Southern Pecan,Lazy Magnolia Brewing Company,Brown Ale - English,3.5,3.58,03/20/20,03/20/20
Certified Evil,Lucky Bucket Brewing Company,Stout - Imperial / Double Oatmeal,4,3.8,03/20/20,03/20/20
Dan the Wiser,Kinkaider Brewing Company,Kölsch,4,3.54,03/19/20,03/19/20
Radial IPA,Infusion Brewing Company,IPA - American,2.25,3.6,03/19/20,03/19/20
Winter Ale,Summit Brewing Company,Winter Ale,3.75,3.53,03/19/20,03/19/20
Milk Stout,Left Hand Brewing Company,Stout - Milk / Sweet,3.75,3.89,03/18/20,03/18/20
Peach Tea,McKenzie's Hard Cider,Cider - Traditional / Apfelwein,3.75,3.7,03/18/20,03/18/20
Rolling Rock Extra Pale,Latrobe Brewing Co.,Lager - Pale,3.25,2.8,03/18/20,03/18/20
RipRap Peanut Butter Cup Stout,Excelsior Brewing Company,Stout - American,3,3.69,03/18/20,03/18/20
Tripl3 Scoop,Barn Town Brewing,Stout - Imperial / Double Milk,4.25,4.05,03/17/20,03/17/20
Blackout Stout,Great Lakes Brewing Company,Stout - Russian Imperial,3,3.98,03/17/20,03/17/20
Kentucky Winter Golden Stout,Lexington Brewing & Distilling Co.,Stout - Imperial / Double White / Golden,3,3.69,03/17/20,03/17/20
Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale - American,4,3.64,03/17/20,03/17/20
Conway's Irish Ale,Great Lakes Brewing Company,Red Ale - Irish,3.75,3.66,03/17/20,03/17/20
Budweiser Black Lager,Anheuser-Busch,Lager - Dark,3.5,3.39,03/15/20,03/15/20
Special Pilsner,Capital Brewery,Pilsner - German,2.5,3.42,03/15/20,03/15/20
Double Hop Skewer,Barn Town Brewing,IPA - Imperial / Double,2.5,4.34,03/14/20,03/14/20
Batch To the Future,Barn Town Brewing,IPA - American,4,3.94,03/13/20,03/13/20
Barreled Treasure,Odell Brewing Co.,Stout - Imperial / Double,4.25,4.05,03/13/20,03/13/20
Sweet Child of Vine,Fulton Beer,IPA - English,4,3.68,03/12/20,03/12/20
Special Ale,Lake Superior Brewing Co.,Pale Ale - American,3.25,3.38,03/10/20,03/10/20
DirtWolf,Victory Brewing Company,IPA - Imperial / Double,3.75,3.93,03/09/20,03/09/20
Girl Stout Cookees,Barn Town Brewing,Stout - Pastry,4.25,4.19,03/08/20,03/08/20
Honey Brown Lager,Dundee Brewing Co,Lager - American Amber / Red,3.75,3.3,03/08/20,03/08/20
Raspberry Drive-In,Barn Town Brewing,IPA - Milkshake,4.25,3.96,03/07/20,03/07/20
Barrel Aged Maple Pecanye West (2019),Barn Town Brewing,Stout - Imperial / Double Milk,5,4.42,03/07/20,03/07/20
Gilbert Gold American Lager,Alluvial Brewing Company,Lager - American,3.5,3.55,03/06/20,03/06/20
Sundae Fundae,Madhouse Brewing Company,Stout - Imperial / Double,4.75,4.39,03/06/20,03/06/20
Mornin' Latte Imperial Coffee Milk Stout,Toppling Goliath Brewing Co.,Stout - Imperial / Double Milk,4.25,4.08,03/05/20,03/05/20
Deer Brand,Schell's Brewery,Lager - American,3.25,3.19,03/05/20,03/05/20
Premium,Grain Belt Beer,Lager - American,3.5,3.22,03/05/20,03/05/20
The Truth,Flying Dog Brewery,IPA - Imperial / Double,4,3.82,03/05/20,03/05/20
Malted Milkshake IPA,Full Sail Brewing Company,IPA - Milkshake,2.25,3.69,03/05/20,03/05/20
IPA,Omission Brewing,Gluten-Free,3.75,3.3,03/03/20,03/03/20
Bright White Ale,Bell's Brewery,Wheat Beer - Other,3.75,3.59,03/03/20,03/03/20
Hopsoulution Ale,Bell's Brewery,IPA - Imperial / Double,4,4,03/02/20,03/02/20
Speedway Stout,AleSmith Brewing Company,Stout - Imperial / Double Coffee,3.75,4.18,03/02/20,03/02/20
Space Station Middle Finger,3 Floyds Brewing,Pale Ale - American,4,3.9,03/01/20,03/01/20
Saison,Boom Island Brewing Company,Farmhouse Ale - Saison,4,3.48,03/01/20,03/01/20
Double Bubble,Rush River Brewing,IPA - Imperial / Double,3.5,3.75,03/01/20,03/01/20
German Chocolate Cake,Coronado Brewing Company,Stout - Imperial / Double,3.75,3.8,02/29/20,02/29/20
Farmer John’s Multi-Grain Ale,Confluence Brewing Company,Blonde Ale,4,3.58,02/28/20,02/28/20
Gigantic IPA,Gigantic Brewing Company,IPA - American,3.75,3.78,02/27/20,02/27/20
Cashmere Hammer,3 Sheeps Brewing Company,Stout - American,4.25,3.83,02/26/20,02/26/20
Guinness Blonde,Guinness,Lager - Pale,3,3.25,02/24/20,02/24/20
Lager ,Omission Brewing,Gluten-Free,3.5,3.09,02/24/20,02/24/20
Most Premium Russian Imperial Stout,Gigantic Brewing Company,Stout - Russian Imperial,3.5,3.95,02/22/20,02/22/20
Best Brown Ale,Bell's Brewery,Brown Ale - American,3,3.69,02/22/20,02/22/20
White Label (2017),Almanac Beer Company,Sour - Other,1.5,4.11,02/21/20,02/21/20
Toucan Punch,Belching Beaver Brewery,Sour - Fruited,0.25,3.86,02/21/20,02/21/20
Snowsuit Winter Abbey,Lucky Bucket Brewing Company,Winter Ale,2.25,3.47,02/20/20,02/20/20
Hinterland Packerland Pilsner,Hinterland Brewery,Pilsner - German,3.5,3.39,02/19/20,02/19/20
Sheephead American Bitter,Brau Brothers Brewing Company,IPA - Red,3.75,3.36,02/19/20,02/19/20
¡Viva La Beaver!,Belching Beaver Brewery,Stout - Milk / Sweet,5,4.09,02/17/20,02/17/20
There Gose The Neighborhood,Against the Grain Brewery,Sour - Fruited Gose,2,3.51,02/15/20,02/15/20
420 Strain G13 IPA,SweetWater Brewing Company,IPA - New England / Hazy,2.75,3.72,02/15/20,02/15/20
New Grist Pilsner Style Beer,Lakefront Brewery,Gluten-Free,2.75,2.96,02/15/20,02/15/20
Coffee Stout,Schlafly - The Saint Louis Brewery,Stout - Coffee,3,3.79,02/15/20,02/15/20
Sippin' Outta Sight Chocolate-Cherry Martini Imperial Stout (2018),Hoppin' Frog Brewery,Stout - Imperial / Double,3.75,3.91,02/14/20,02/14/20
Pale Ale,Omission Brewing,Gluten-Free,3.5,3.25,02/13/20,02/13/20
White Rascal,Avery Brewing Co.,Wheat Beer - Witbier / Blanche,3.75,3.62,02/12/20,02/12/20
Abbey Ale,Brewery Ommegang,Belgian Dubbel,3,3.8,02/12/20,02/12/20
Barrel Aged B.O.R.I.S. ,Hoppin' Frog Brewery,Stout - Russian Imperial,4,4.18,02/12/20,02/12/20
Tip the Cow,SingleSpeed Brewing Company,Stout - Coffee,3.25,3.97,02/11/20,02/11/20
Trend Bucker,NoCoast Beer Co,Stout - American,4,3.69,02/11/20,02/11/20
Purple Haze,Abita Brewing Company,Fruit Beer,2.75,3.42,02/09/20,02/09/20
Dragonstooth Stout,Elysian Brewing Company,Stout - Imperial / Double Oatmeal,3.5,3.82,02/09/20,02/09/20
Honey Orange Tripel,New Belgium Brewing Company,Belgian Tripel,3.25,3.8,02/08/20,02/08/20
Shiner Bohemian Black Lager (Shiner 97),Spoetzl Brewery,Schwarzbier,3.25,3.46,02/08/20,02/08/20
Space Dust IPA,Elysian Brewing Company,IPA - American,3.75,3.85,02/06/20,02/06/20
Special Double Cream Stout,Bell's Brewery,Stout - American,3.25,3.83,02/06/20,02/06/20
Sunshower,East Grove Farms,Mead - Other,2,3.73,02/06/20,02/06/20
El Cedro,Jester King Brewery,Farmhouse Ale - Saison,3.25,3.84,02/04/20,02/04/20
11 Pipers Piping (2019),The Bruery,Scotch Ale / Wee Heavy,3.75,3.82,02/02/20,02/02/20
Cherry Choctabulous,Rogue Ales,Stout - Milk / Sweet,4,3.91,02/02/20,02/02/20
American IPA (AIPA),Schlafly - The Saint Louis Brewery,IPA - American,3.5,3.74,02/02/20,02/02/20
Canadian Breakfast Stout (CBS),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.46,02/02/20,02/02/20
Double Burnt Caramel,Clown Shoes,Brown Ale - Imperial / Double,3.75,3.95,02/02/20,02/02/20
Milk Stout Nitro,Left Hand Brewing Company,Stout - Milk / Sweet,3.75,3.94,02/01/20,02/01/20
Raison D'Extra,Dogfish Head Craft Brewery,Belgian Strong Dark Ale,4,4.04,02/01/20,02/01/20
Amber Ale,Bell's Brewery,Red Ale - American Amber / Red,2.75,3.59,01/31/20,01/31/20
Absence of Light Peanut Butter Chocolate Milk Stout,4 Hands Brewing Company,Stout - Milk / Sweet,3.75,4.07,01/31/20,01/31/20
Tangerine Wheat,Lost Coast Brewery,Wheat Beer - Other,3,3.67,01/31/20,01/31/20
Singel,Hardywood Park Craft Brewery,Belgian Blonde,2.25,3.53,01/31/20,01/31/20
Citra Pale Ale,Hinterland Brewery,Pale Ale - American,3.25,3.65,01/31/20,01/31/20
Birthday Bomb!,Prairie Artisan Ales,Stout - Imperial / Double,5,4.29,01/30/20,01/30/20
Screenshot,Prairie Artisan Ales,Stout - Imperial / Double Coffee,5,4.24,01/29/20,01/29/20
Next Coast,Goose Island Beer Co.,IPA - American,3,3.66,01/29/20,01/29/20
Stone IPA,Stone Brewing,IPA - American,4,3.76,01/29/20,01/29/20
Busch Light,Anheuser-Busch,Lager - American Light,5,2.55,01/27/20,01/27/20
DAAANG! IPA,Zipline Brewing Co.,IPA - Imperial / Double,3.75,3.92,01/26/20,01/26/20
Breakfast Stout,Founders Brewing Co.,Stout - Oatmeal,3.75,4.12,01/26/20,01/26/20
Pranqster,North Coast Brewing Company,Belgian Strong Golden Ale,3.75,3.75,01/26/20,01/26/20
Scrimshaw,North Coast Brewing Company,Pilsner - German,2.75,3.54,01/26/20,01/26/20
Anchor Steam Beer,Anchor Brewing Company,California Common,2.75,3.49,01/25/20,01/25/20
Shiner Bock,Spoetzl Brewery,Bock - Single / Traditional,4,3.5,01/25/20,01/25/20
Unfiltered Wheat Beer,Boulevard Brewing Co.,Wheat Beer - American Pale Wheat,3.75,3.6,01/25/20,01/25/20
Hopalicious,Ale Asylum,Pale Ale - American,3.75,3.74,01/24/20,01/24/20
Hop Hunter,Sierra Nevada Brewing Co.,IPA - American,3.75,3.78,01/24/20,01/24/20
Spotted Cow,New Glarus Brewing Company,Farmhouse Ale - Other,3.75,3.89,01/24/20,01/24/20
Redbridge,Anheuser-Busch,Sorghum / Millet Beer,2.75,2.5,01/24/20,01/24/20
Belgian White,Shock Top Brewing Co.,Wheat Beer - Witbier / Blanche,3.5,3.31,01/23/20,01/23/20
Snowdrift Vanilla Porter,Jacob Leinenkugel Brewing Company,Porter - American,3.75,3.53,01/21/20,01/21/20
Two Hearted Ale,Bell's Brewery,IPA - American,3,3.95,01/19/20,01/19/20
Honey Weiss,Jacob Leinenkugel Brewing Company,Wheat Beer - Kristallweizen,2.75,3.28,01/19/20,01/19/20
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,3.5,3.58,01/18/20,01/18/20
Newcastle Brown Ale,John Smith's,Brown Ale - English,3.75,3.39,01/17/20,01/17/20
Fiddler,Potosi Brewing Company,Stout - Oatmeal,3.5,3.55,01/17/20,01/17/20
Jubelale,Deschutes Brewery,Winter Ale,2.5,3.58,01/15/20,01/15/20
Tragedy of the Common,IOWA BREWING Co.,California Common,3,3.52,01/14/20,01/14/20
Prairie Path Ale,Two Brothers Brewing Company,Gluten-Free,2.75,3.32,01/14/20,01/14/20
Cherry Wheat,Samuel Adams,Wheat Beer - American Pale Wheat,3.75,3.41,01/13/20,01/13/20
Lucky 13 (Mondo Large Red Ale),Lagunitas Brewing Company,Red Ale - Imperial / Double,3.5,3.83,01/13/20,01/13/20
OG,Peace Tree Brewing Company,Sour - Fruited Gose,2.5,3.72,01/12/20,01/12/20
Canoe Paddle Kölsch,Jacob Leinenkugel Brewing Company,Kölsch,3.5,3.33,01/12/20,01/12/20
Wailua Wheat,Kona Brewing Company,Wheat Beer - American Pale Wheat,3.75,3.51,01/12/20,01/12/20
German Pilsner,Millstream Brewing,Pilsner - German,3.75,3.45,01/12/20,01/12/20
Mango Wheat,Blue Moon Brewing Company,Wheat Beer - Witbier / Blanche,3.25,3.54,01/12/20,01/12/20
Murderhorn,Backpocket Brewing,Belgian Strong Golden Ale,3,3.66,01/12/20,01/12/20
Moongold Apricot,Keg Creek Brewing Company,Wheat Beer - Other,3.75,3.63,04/21/16,04/21/16
Oak-Aged Imperial Red,Madhouse Brewing Company,Red Ale - Imperial / Double,5,3.62,04/21/16,04/21/16
